2017-03-05 7:49:47 - PHP Notice:  Trying to get property of non-object in /home/u613811568/public_html/admin/model/sale/order.php on line 307
2017-03-05 7:49:47 - PHP Notice:  Error: MySQL server has gone away<br />Error No: 2006<br />SELECT COUNT(*) AS total FROM `oc_order` WHERE (order_status_id = '5' OR order_status_id = '1' OR order_status_id = '2' OR order_status_id = '12' OR order_status_id = '3') in /home/u613811568/public_html/system/library/db/mysqli.php on line 41
2017-03-05 7:49:47 - PHP Notice:  Trying to get property of non-object in /home/u613811568/public_html/admin/model/sale/order.php on line 307
2017-03-05 7:49:47 - PHP Notice:  Error: MySQL server has gone away<br />Error No: 2006<br />SELECT COUNT(*) AS total FROM `oc_order` WHERE (order_status_id = '7' OR order_status_id = '9' OR order_status_id = '13' OR order_status_id = '8' OR order_status_id = '14' OR order_status_id = '10' OR order_status_id = '15' OR order_status_id = '11' OR order_status_id = '16') in /home/u613811568/public_html/system/library/db/mysqli.php on line 41
2017-03-05 7:49:47 - PHP Notice:  Trying to get property of non-object in /home/u613811568/public_html/admin/model/sale/order.php on line 307
2017-03-05 7:49:47 - PHP Notice:  Undefined variable: languages in /home/u613811568/public_html/admin/view/template/module/olark.tpl on line 64
2017-03-05 7:49:47 - PHP Warning:  Invalid argument supplied for foreach() in /home/u613811568/public_html/admin/view/template/module/olark.tpl on line 64
2017-03-05 8:00:34 - PHP Notice:  Error: MySQL server has gone away<br />Error No: 2006<br />SELECT p.product_id, (SELECT AVG(rating) AS total FROM oc_review r1 WHERE r1.product_id = p.product_id AND r1.status = '1' GROUP BY r1.product_id) AS rating, (SELECT price FROM oc_product_discount pd2 WHERE pd2.product_id = p.product_id AND pd2.customer_group_id = '1' AND pd2.quantity = '1' AND ((pd2.date_start = '0000-00-00' OR pd2.date_start < NOW()) AND (pd2.date_end = '0000-00-00' OR pd2.date_end > NOW())) ORDER BY pd2.priority ASC, pd2.price ASC LIMIT 1) AS discount, (SELECT price FROM oc_product_special ps WHERE ps.product_id = p.product_id AND ps.customer_group_id = '1' AND ((ps.date_start = '0000-00-00' OR ps.date_start < NOW()) AND (ps.date_end = '0000-00-00' OR ps.date_end > NOW())) ORDER BY ps.priority ASC, ps.price ASC LIMIT 1) AS special FROM oc_product_to_category p2c LEFT JOIN oc_product p ON (p2c.product_id = p.product_id) LEFT JOIN oc_product_description pd ON (p.product_id = pd.product_id) LEFT JOIN oc_product_to_store p2s ON (p.product_id = p2s.product_id) WHERE pd.language_id = '1' AND p.status = '1' AND p.date_available <= NOW() AND p2s.store_id = '0' AND p2c.category_id = '37' GROUP BY p.product_id ORDER BY p.date_added DESC, LCASE(pd.name) DESC LIMIT 0,5 in /home/u613811568/public_html/system/library/db/mysqli.php on line 41
2017-03-05 8:00:34 - PHP Notice:  Trying to get property of non-object in /home/u613811568/public_html/catalog/model/catalog/product.php on line 192
2017-03-05 8:00:34 - PHP Warning:  Invalid argument supplied for foreach() in /home/u613811568/public_html/catalog/model/catalog/product.php on line 192
2017-03-05 8:00:34 - PHP Notice:  Error: MySQL server has gone away<br />Error No: 2006<br />SELECT * FROM oc_module WHERE module_id = '112' in /home/u613811568/public_html/system/library/db/mysqli.php on line 41
2017-03-05 8:00:34 - PHP Notice:  Trying to get property of non-object in /home/u613811568/public_html/system/storage/modification/catalog/model/extension/module.php on line 16
